CEDULA;NOMBRE_ESTUDIANTE;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;PUNT_GLOBAL;PERCENTIL_GLOBAL
10048527;Sebastián Flores;65;91;69;94;57;79;67;94;68;95;324;93
98043327;Daniel García;55;59;56;66;56;78;40;29;59;87;262;62
67278232;Gabriel González;69;96;57;70;55;75;61;84;81;100;310;89
23108269;Nicolás Martínez;46;30;30;3;36;13;46;46;39;27;197;16
73638224;Mateo Rodríguez;46;27;61;80;62;91;50;56;53;78;273;70
29262575;Mateo García;66;92;65;89;66;95;63;88;75;98;329;94
29616715;Mateo García;56;63;45;33;48;51;38;22;61;89;239;46
57126517;Mateo González;60;76;75;99;70;98;67;94;100;100;352;98
10114363;Samuel López;68;94;70;95;71;99;78;100;100;100;370;100
23879655;Ángel López;75;100;72;97;69;98;76;100;79;99;367;100
5820207;Daniel Flores;41;16;38;13;45;40;44;41;44;46;211;25
40551625;Santiago Martínez;54;56;58;72;43;35;51;61;70;96;265;64
57663200;Ángel Ramírez;55;61;55;62;46;45;47;49;36;13;248;52
82783379;Santiago Sánchez;54;55;63;84;65;94;56;74;53;77;295;82
18639262;Daniel Pérez;51;44;42;24;39;21;48;51;43;43;224;34
85427492;Alejandro Ramírez;63;86;70;95;65;95;65;91;56;84;325;94
43596037;Sebastián Pérez;59;75;69;94;54;72;59;80;75;98;307;88
29249478;Santiago Pérez;44;23;40;18;38;19;41;30;44;45;205;21
20924186;Daniel González;51;46;41;20;49;53;52;63;49;66;242;47
42188109;Nicolás Torres;61;81;67;92;61;89;60;82;63;90;312;89
23623631;Mateo Flores;65;90;66;90;63;91;67;94;75;98;330;95
99534695;Alejandro García;34;4;31;4;29;2;24;1;41;33;152;1
18126833;Mateo Ramírez;43;20;50;47;48;51;41;31;41;32;226;36
49772906;Nicolás Torres;61;81;59;76;55;74;56;72;53;78;287;78
69168932;Mateo García;36;6;39;17;33;7;35;13;45;52;182;8
6590842;Alejandro Pérez;44;22;41;20;39;21;45;44;33;6;208;23
3030479;David Ramírez;43;19;36;10;33;6;26;2;46;55;177;6
49854652;Gabriel Torres;51;45;41;21;48;50;35;15;43;43;218;30
51150643;Alejandro Rodríguez;44;24;35;9;43;33;33;10;33;6;192;13
7571062;Samuel López;65;89;43;25;61;88;54;67;65;92;282;75
28886562;Santiago Pérez;63;86;63;86;62;90;59;79;48;63;303;86
95359366;Alejandro Ramírez;57;67;45;31;53;69;51;60;37;18;252;55
40822430;Ángel Pérez;62;83;54;61;52;64;47;50;52;73;268;66
35528744;Samuel Torres;49;38;37;11;36;13;27;2;45;48;189;11
90061229;Santiago García;45;26;51;50;51;63;45;42;53;78;242;48
59719578;Mateo Torres;49;37;56;66;37;16;40;29;45;50;227;37
29219645;Ángel Ramírez;34;3;28;2;32;6;31;7;33;6;157;1
85976058;Santiago González;55;62;38;15;42;32;42;34;31;3;216;28
22158596;Mateo Pérez;76;100;79;100;74;100;66;92;75;98;369;100
96115143;David López;62;83;52;53;44;36;53;66;43;42;260;61
25999941;Mateo García;59;75;54;61;47;47;75;99;60;88;294;82
10601737;Sebastián Rodríguez;54;57;59;75;52;66;47;48;48;63;263;63
71101401;Nicolás Flores;59;75;76;99;71;99;75;99;71;96;352;98
71662110;Sebastián González;50;40;53;58;34;8;37;21;55;81;222;33
22171106;Gabriel González;36;6;41;20;32;6;40;28;38;21;187;10
82357876;Gabriel Ramírez;54;55;43;26;47;49;46;46;46;54;237;44
34723725;Ángel García;52;50;49;42;44;38;45;42;33;6;232;40
36669739;Nicolás Ramírez;40;14;38;13;41;26;36;18;50;68;198;16
88958737;Alejandro González;36;7;33;6;41;27;32;7;35;12;177;6
81137809;Nicolás Flores;37;8;31;5;33;6;34;13;50;69;175;5
11784559;Santiago García;41;16;42;23;31;4;31;6;44;44;184;9
64620827;David González;58;72;47;37;54;70;52;63;43;40;260;61
22383358;Daniel Sánchez;46;29;31;4;48;50;53;66;34;8;218;30
87831839;Daniel Flores;52;48;53;57;43;33;53;66;54;79;253;56
72795673;David Flores;54;55;44;29;54;72;46;47;39;23;243;49
9244562;Mateo García;42;16;28;2;29;2;22;1;39;25;155;1
6087753;Sebastián Torres;54;56;49;45;41;28;39;26;43;41;228;37
76573133;Mateo Pérez;39;10;44;29;43;35;47;50;43;44;216;28
21125237;Alejandro Ramírez;35;5;37;11;38;17;38;22;38;22;185;9
75654864;Gabriel Rodríguez;51;43;37;12;51;62;46;45;40;30;229;38
51673932;Santiago Sánchez;34;4;36;10;38;19;31;6;37;19;175;5
29984438;Alejandro Sánchez;42;18;44;28;50;57;41;33;47;60;222;33
93500810;Mateo Flores;44;23;44;29;40;25;45;43;32;5;212;25
94570265;Nicolás González;51;44;43;26;49;56;36;16;40;29;222;33
44631716;Sebastián Sánchez;35;4;44;28;47;46;47;48;46;53;217;29
36787045;Gabriel Rodríguez;48;34;57;70;52;66;37;21;63;91;248;52
73727489;David Sánchez;54;57;53;55;50;59;53;64;33;6;255;57
64431702;Mateo Pérez;52;48;54;61;58;83;52;61;44;48;266;65
13572842;Samuel Flores;41;15;50;46;37;16;35;14;33;7;201;18
94820908;Santiago Ramírez;45;24;39;16;37;16;32;8;42;35;193;13
26489602;Daniel Rodríguez;57;67;51;51;54;70;57;75;46;53;270;68
45051602;Santiago González;44;24;52;55;44;37;40;27;45;51;225;35
42179570;Alejandro González;52;49;46;34;51;62;51;60;50;69;250;54
31096093;Daniel González;57;69;60;78;45;42;53;65;45;52;265;64
67251346;Alejandro Pérez;61;80;57;68;50;59;52;63;45;48;271;68
26961419;Daniel Flores;55;58;56;66;50;57;51;61;45;49;262;62
78836179;David Martínez;43;19;43;26;46;44;40;29;43;40;215;28
56813115;David Martínez;40;14;39;16;36;14;41;30;38;22;195;14
72479945;David Sánchez;69;96;73;98;69;98;66;93;58;86;342;97
73752837;Samuel Ramírez;66;91;57;69;52;63;63;88;52;76;295;82
51819278;Alejandro Martínez;42;17;59;76;37;16;57;75;48;62;243;49
21183022;Gabriel Torres;77;100;70;95;66;95;60;82;76;98;344;97
88815769;Nicolás Torres;58;71;61;81;55;75;41;30;45;49;265;64
56901504;Alejandro Ramírez;36;6;36;10;42;32;28;3;38;20;178;6
29008536;Daniel Rodríguez;52;48;49;44;52;63;52;62;45;52;254;56
42036308;Samuel Sánchez;52;50;43;26;44;37;56;73;42;38;241;47
48065546;Alejandro Rodríguez;50;41;30;3;43;35;51;60;36;15;215;27
99152944;David Martínez;51;45;54;58;49;55;52;62;42;37;254;56
77783070;Santiago Torres;45;27;29;3;38;18;43;38;44;44;196;15
60655530;Sebastián González;51;43;44;28;44;39;37;21;45;49;220;32
42060649;Samuel Sánchez;54;57;57;68;49;56;43;37;53;76;255;57
73008926;Alejandro Flores;39;11;43;25;50;57;40;30;40;28;214;27
78510661;Santiago Rodríguez;44;24;36;10;42;32;39;24;45;49;203;20
72711931;Daniel González;47;30;51;49;52;63;36;17;35;12;228;37
18191441;Alejandro López;36;6;38;14;32;5;24;1;35;12;163;2
47446912;Santiago Flores;40;13;43;25;37;16;36;17;50;70;199;17
84962213;Santiago Pérez;49;37;47;36;41;29;41;32;38;21;220;31
16189562;Daniel Flores;54;57;45;33;53;68;52;63;55;82;257;58
10032619;Santiago Rodríguez;53;51;63;84;61;88;63;88;48;60;295;82
52867366;Sebastián López;37;8;38;15;42;32;39;25;31;3;192;13
4645696;David Torres;49;39;47;37;48;51;43;37;47;59;234;42
35837105;Samuel Martínez;50;42;40;19;38;19;38;24;31;3;203;20
66811033;Daniel Pérez;59;75;54;61;49;53;42;34;47;57;253;56
2250390;Daniel López;58;71;56;65;46;43;44;39;46;54;253;56
21280304;Gabriel López;34;3;52;53;42;31;49;54;47;58;222;33
61894297;Santiago Martínez;53;52;52;54;52;64;58;77;53;77;268;67
50650711;Santiago González;47;32;47;37;46;44;42;33;55;81;231;40
12175871;Samuel Martínez;44;24;43;26;36;12;30;5;29;1;188;11
9344224;Nicolás Torres;47;33;44;29;35;11;32;8;42;38;198;17
43887171;Sebastián Sánchez;38;9;39;16;38;18;37;19;35;12;189;11
13198923;Mateo Ramírez;53;51;43;25;34;9;41;30;36;14;211;25
26111079;David González;33;3;30;4;36;12;34;13;46;53;171;4
18509690;Nicolás Flores;35;5;40;18;30;2;30;5;44;46;173;4
38388135;Ángel González;41;14;34;7;36;14;27;2;34;8;172;4
10013289;David García;51;45;53;56;52;66;43;36;38;20;244;49
35070655;Ángel Flores;48;36;58;73;38;17;43;38;34;9;229;38
14983046;Nicolás López;57;67;44;30;43;34;39;24;39;25;226;36
25737575;Sebastián García;32;2;39;15;36;14;43;36;36;13;187;10
78240824;Mateo Rodríguez;41;16;57;69;49;54;45;43;38;19;236;43
84708506;Gabriel Pérez;53;52;49;44;43;33;38;23;33;6;224;34
20683427;Sebastián Rodríguez;44;21;32;5;31;4;35;15;32;5;176;5
47017603;Samuel Rodríguez;42;18;52;53;33;6;43;36;39;27;211;25
49021037;Alejandro Sánchez;50;40;39;16;47;49;48;52;50;70;232;40
75859994;David Rodríguez;38;8;43;26;37;16;43;36;50;68;205;21
3504997;Santiago García;39;12;23;1;37;15;36;18;40;29;171;4
71944952;Mateo López;41;16;40;18;32;5;40;29;37;17;191;12
90519798;Ángel Ramírez;55;59;49;42;43;35;49;55;38;23;241;47
71148943;Ángel Rodríguez;48;34;42;22;37;15;41;30;34;9;207;22
66783250;Daniel López;45;27;40;18;41;28;31;7;37;19;195;15
70845208;Ángel Ramírez;54;56;57;69;53;67;50;58;48;60;265;64
40684800;Gabriel Rodríguez;53;53;43;25;30;3;34;12;41;33;200;18
67462818;Samuel García;57;66;59;75;56;76;58;79;67;94;291;80
36195801;Sebastián Pérez;49;39;36;10;52;66;44;40;45;49;226;36
12110820;Samuel Torres;56;62;46;35;52;66;42;36;51;72;246;50
32512422;Samuel López;36;7;28;2;41;27;40;28;38;21;182;8
33049905;Daniel Ramírez;52;47;49;44;39;22;39;25;45;51;224;34
65400599;Mateo Pérez;64;88;69;94;70;98;60;82;64;92;328;94
75056506;Ángel Torres;56;64;71;96;58;81;51;61;49;65;291;80
64012205;Samuel Torres;53;52;61;80;56;77;52;62;47;59;274;70
9835472;Alejandro Martínez;59;74;50;46;38;19;31;6;34;7;218;30
55494143;Daniel Ramírez;55;59;49;43;42;30;48;51;53;77;244;49
33486560;Daniel Pérez;66;91;63;84;60;86;62;87;74;97;318;92
69148623;Nicolás López;43;20;35;8;40;26;40;29;36;13;196;15
96232781;David González;41;15;39;16;36;12;36;18;36;13;189;11
56058447;Alejandro González;44;22;39;16;44;38;41;33;34;8;207;22
81991901;Sebastián Rodríguez;53;51;43;26;40;25;51;60;39;26;231;39
83096972;Ángel Rodríguez;45;25;46;34;34;8;50;56;30;2;213;27
72085570;Sebastián Sánchez;37;7;34;8;40;24;42;33;33;7;189;11
32349063;Mateo Flores;57;67;45;32;49;54;51;59;49;66;252;55
33596400;Alejandro Martínez;33;3;34;7;37;15;28;3;44;47;169;3
36292601;Mateo Torres;56;64;48;39;47;47;43;36;30;2;235;43
21646465;Santiago López;51;43;42;24;45;42;33;11;43;40;214;27
53751079;Samuel Martínez;54;54;45;31;53;69;61;84;42;37;262;62
46879325;Santiago González;54;55;52;54;50;58;51;60;57;85;261;61
57234358;Mateo Flores;58;70;61;80;48;50;54;68;51;71;275;71
1530993;Nicolás Torres;49;38;58;71;42;31;39;26;53;76;237;44
84079814;Sebastián Pérez;41;14;60;77;38;18;42;33;53;77;229;38
77707342;David González;38;8;45;32;27;1;27;2;39;25;173;4
51942221;Gabriel Ramírez;58;72;51;50;55;75;51;59;50;68;267;66
21922247;Gabriel González;54;57;63;84;50;59;63;87;39;23;280;74
81301923;Alejandro González;46;29;58;71;50;57;60;83;53;77;267;66
20013447;David Martínez;60;76;52;53;43;33;60;81;43;40;265;64
44105411;Gabriel Torres;60;78;58;74;50;57;65;92;67;94;295;82
59848217;Gabriel Flores;43;20;40;18;36;14;39;26;43;41;199;17
72362630;Daniel López;46;29;42;24;37;16;39;27;34;8;202;19
63041705;Sebastián García;54;55;44;30;51;61;44;41;41;34;238;45
97900702;Samuel Flores;35;4;51;50;48;51;35;14;38;22;210;24
4588575;Alejandro Flores;57;69;51;50;35;10;45;44;29;1;228;37
53817852;Nicolás López;48;35;46;33;48;52;41;30;43;42;228;37
26218136;Mateo Pérez;57;69;59;74;55;73;48;51;34;9;266;65
70822959;Santiago Flores;36;6;42;24;38;19;37;21;37;17;191;12
78684808;Santiago Rodríguez;65;89;57;69;55;73;66;93;45;50;298;84
90540238;Santiago Sánchez;57;68;41;21;51;60;49;53;31;2;240;46
38797985;David García;63;85;49;45;47;46;63;89;38;22;271;68
37613252;Mateo Ramírez;41;16;41;21;52;64;48;51;44;45;227;36
76014880;Ángel Torres;41;16;47;36;39;20;43;36;55;82;217;29
29501127;David López;32;2;37;13;35;11;31;6;44;44;173;4
28723714;Daniel Ramírez;43;20;39;16;47;48;44;42;49;65;218;30
70839392;Mateo Torres;38;9;34;7;41;26;37;20;34;8;186;10
75176747;Santiago Sánchez;48;35;63;85;49;56;38;21;40;29;244;49
78198481;Samuel Rodríguez;52;50;50;48;49;54;49;55;44;48;248;52
71424497;Santiago López;42;17;42;23;38;19;39;25;42;39;202;19
21359339;Sebastián López;53;53;53;56;38;17;43;37;41;32;232;40
9672022;Nicolás Martínez;50;42;52;52;40;24;47;49;36;13;232;40
30418228;David Flores;50;42;48;42;50;58;43;36;30;2;232;40
97647920;Sebastián González;63;84;51;52;52;64;65;91;39;23;282;75
77529532;Gabriel Flores;37;8;41;22;40;25;27;2;33;5;180;7
60428988;Santiago García;39;11;39;16;32;5;40;27;31;2;185;9
94627954;Gabriel Martínez;35;5;39;17;37;17;26;2;33;5;171;4
68473682;Ángel Sánchez;51;44;48;41;30;3;45;43;0;1;201;18
41303856;Santiago Sánchez;50;40;55;62;55;74;43;39;33;6;247;51
19616198;Mateo López;60;79;35;9;28;1;47;48;54;79;217;29
10343416;Santiago Ramírez;36;6;34;8;40;25;47;47;41;34;197;16
88282416;Santiago Martínez;37;8;23;1;40;24;38;23;36;14;173;4
76460238;Sebastián Pérez;31;2;28;2;34;9;33;9;32;4;158;1
9020702;Alejandro Rodríguez;36;5;37;12;35;10;32;7;30;2;173;4
31800227;Mateo González;57;67;48;41;56;78;60;83;51;71;275;71
18155117;Sebastián Flores;47;31;47;39;50;57;49;55;41;32;238;45
5682514;Mateo González;38;9;35;8;30;3;37;19;41;31;177;6
61671043;Gabriel Rodríguez;62;83;64;87;61;88;55;71;43;41;296;83
6235787;Samuel Torres;42;18;32;5;39;22;44;40;33;7;194;14
28216664;Mateo López;51;46;53;58;43;35;46;46;44;45;240;46
53301215;Mateo Flores;40;14;61;81;50;59;35;13;74;98;243;48
13284731;Nicolás Ramírez;50;40;31;4;34;8;36;17;48;63;193;13
50415746;Gabriel Flores;56;64;40;18;48;50;42;35;62;90;238;45
16761409;Alejandro López;48;34;53;55;56;76;46;45;52;74;254;57
28127533;Mateo Rodríguez;48;35;42;25;41;27;23;1;46;55;195;15
92391729;Mateo López;38;9;42;23;48;50;45;43;36;13;213;27
59705905;Gabriel López;62;82;51;49;52;63;58;77;81;100;288;79
86040481;Nicolás García;61;81;63;85;56;77;53;66;48;62;287;78
63752924;David Flores;45;25;41;21;40;24;37;21;41;31;204;20
39196112;Sebastián García;52;48;40;18;45;41;44;41;45;49;226;36
40856040;Gabriel Torres;51;47;66;91;55;73;53;64;50;68;279;73
71237930;Ángel Sánchez;56;62;60;78;60;86;64;89;65;92;302;86
78500413;Santiago Pérez;45;25;40;18;37;16;35;14;42;36;197;16
57840782;Nicolás González;53;51;43;26;39;23;43;36;35;12;219;30
84279803;Alejandro González;56;62;57;69;68;97;65;91;51;73;303;86
17345567;Santiago Flores;43;19;48;41;56;78;54;67;50;70;251;54
39029430;Ángel Rodríguez;30;1;24;1;29;2;34;12;36;14;149;1
62024177;Sebastián Pérez;62;83;47;37;52;64;58;79;42;37;269;67
98222152;David Torres;57;66;48;40;59;84;45;43;48;63;260;60
87372914;Daniel González;34;4;45;31;47;47;32;8;35;10;196;15
23740270;Samuel Torres;60;77;65;88;33;6;50;58;60;88;263;63
77757911;Samuel García;43;19;44;29;41;29;46;47;43;40;217;29
62291336;David González;47;31;36;10;43;33;48;51;44;45;218;30
12889370;Mateo López;48;36;38;15;46;44;43;38;43;40;218;30
42386727;Santiago Flores;61;79;65;90;66;95;59;79;59;87;312;90
24838645;Samuel González;66;93;64;87;44;39;62;86;47;56;290;80
91167463;Alejandro García;48;34;44;28;41;27;36;17;38;23;210;24
59692294;Santiago Torres;51;45;60;78;45;41;39;26;41;34;241;47
72848804;Santiago López;48;34;65;89;63;92;50;57;50;69;280;74
87034964;Santiago González;66;92;59;74;50;58;61;84;51;72;292;81
2338019;Ángel Ramírez;46;27;46;35;49;54;47;48;48;60;235;43
88846356;Santiago García;42;18;38;14;47;47;34;12;37;18;200;18
30418522;Ángel López;54;54;58;72;48;50;48;53;48;62;258;60
